Product Name	Brand Name
Great Value Gummy Bears, 16 oz	Great Value
Great Value Chocolate Chip Cookies, 12 Pack	Great Value
Great Value Sour Candy Mix, 10 oz	Great Value
Great Value Peanut Butter Cups, 24 Count	Great Value
Great Value Fruit Chews, 14 oz	Great Value
Great Value Chocolate Caramel Bars, 18 Pack	Great Value
Great Value Jelly Beans, 20 oz	Great Value
Great Value Mint Chocolate Thins, 15 Pack	Great Value
Great Value Hard Candy Assortment, 32 oz	Great Value
Great Value Toffee Candy, 10 Pack	Great Value
Great Value Licorice Twists, 16 oz	Great Value
Great Value Marshmallow Bites, 12 Pack	Great Value
Great Value Gummy Worms, 18 oz	Great Value
Great Value Dark Chocolate Bars, 12 Count	Great Value
Great Value Milk Chocolate Bars, 20 Count	Great Value
Great Value Candy Corn, 22 oz	Great Value
Great Value Cinnamon Hard Candy, 14 oz	Great Value
Great Value Butterscotch Discs, 18 oz	Great Value
Great Value Chewy Caramel, 24 Pack	Great Value
Great Value Bubble Gum, 10 Pack	Great Value
Great Value Peppermint Patties, 18 Count	Great Value
Great Value Strawberry Licorice, 16 oz	Great Value
Great Value Sugar-Free Hard Candy, 14 oz	Great Value
Great Value Lollipops, 50 Count	Great Value
Great Value Mint Hard Candy, 16 oz	Great Value
Great Value Toffee Nut Clusters, 12 oz	Great Value
Great Value Fruit Flavored Chews, 10 oz	Great Value
Great Value Chocolate Covered Almonds, 14 oz	Great Value
Great Value Gummy Sharks, 18 oz	Great Value
Great Value Assorted Fruit Drops, 24 oz	Great Value
Great Value Chocolate Covered Peanuts, 20 oz	Great Value
Great Value Caramel Chews, 16 Pack	Great Value
Great Value Almond Bark, 14 oz	Great Value
Great Value Orange Slices, 18 oz	Great Value
Great Value Gummy Rings, 20 oz	Great Value
Great Value Peanut Clusters, 16 oz	Great Value
Great Value Chocolate Covered Raisins, 18 oz	Great Value
Great Value Maple Nut Goodies, 14 oz	Great Value
Great Value Taffy Candy, 16 oz	Great Value
Great Value Coconut Bonbons, 12 Pack	Great Value
Great Value Peppermint Sticks, 20 Count	Great Value
Great Value Cherry Sours, 18 oz	Great Value
Great Value Saltwater Taffy, 24 oz	Great Value
Great Value Lemon Drops, 16 oz	Great Value
Great Value Buttermints, 12 oz	Great Value
Great Value Fruit Slices, 14 oz	Great Value
Great Value Candy Coated Chocolates, 16 oz	Great Value
Great Value Chocolate Mint Wafers, 10 oz	Great Value
Great Value S'mores Mix, 14 oz	Great Value
Great Value Fudge Brownie Bites, 12 Pack	Great Value
Great Value Banana Chips, 16 oz	Great Value
Great Value Raspberry Candies, 14 oz	Great Value
Great Value Chocolate Truffles, 18 Count	Great Value
Great Value Fruit Gummy Mix, 12 oz	Great Value
Great Value Chocolate Peppermint Bark, 14 oz	Great Value
Great Value Nutty Toffee Bites, 12 oz	Great Value
Great Value Soft Caramel Candies, 20 oz	Great Value
Great Value Yogurt Covered Pretzels, 16 oz	Great Value
Great Value Cotton Candy, 12 oz	Great Value
Great Value Chocolate Covered Cherries, 14 oz	Great Value
Great Value Caramel Popcorn, 18 oz	Great Value
Great Value Chocolate Dipped Marshmallows, 12 Pack	Great Value
Great Value Mint Chocolate Chip Bark, 14 oz	Great Value
Great Value Peanut Butter Fudge, 16 oz	Great Value
Great Value Cranberry Nut Mix, 18 oz	Great Value
Great Value Caramel Apple Pops, 20 Count	Great Value
Great Value Chocolate Nut Clusters, 16 oz	Great Value
Great Value Chocolate Covered Pretzels, 12 oz	Great Value
Great Value Lemon Meringue Bites, 14 oz	Great Value
Great Value Berry Chewy Candy, 16 oz	Great Value
Great Value Peanut Butter Chocolate Bites, 12 Pack	Great Value
Great Value Apple Rings, 18 oz	Great Value
Great Value Chocolate Covered Strawberries, 14 oz	Great Value
Great Value Marshmallow Peanuts, 16 oz	Great Value
Great Value Raspberry Licorice, 18 oz	Great Value
Great Value Coconut Clusters, 14 oz	Great Value
Great Value Chocolate Covered Cashews, 12 oz	Great Value
Great Value Almond Toffee Bark, 16 oz	Great Value
Great Value Caramel Drizzle Popcorn, 14 oz	Great Value
Great Value Strawberry Chewy Candy, 12 Pack	Great Value
Great Value Gummy Bears, 20 oz	Great Value
Great Value Caramel Chocolate Bars, 16 Pack	Great Value
Great Value Assorted Chocolate Truffles, 18 Count	Great Value
Great Value Peanut Brittle, 14 oz	Great Value
Great Value Ginger Chews, 16 oz	Great Value
Great Value Pumpkin Spice Bark, 12 oz	Great Value
Great Value Chocolate Caramel Clusters, 14 oz	Great Value
Great Value Mint Chip Ice Cream Bites, 12 Pack	Great Value
Great Value Chocolate Covered Espresso Beans, 14 oz	Great Value
Great Value Berry Gummy Mix, 18 oz	Great Value
Great Value Chocolate Nut Bark, 16 oz	Great Value
Great Value Honey Roasted Peanuts, 14 oz	Great Value
Great Value Fudge Swirl Bites, 12 Pack	Great Value
Great Value Strawberry Hard Candy, 16 oz	Great Value
Great Value Peppermint Bark, 14 oz	Great Value
